Phage accession	Host lineage
AJ635161.1	{'genus': ['Pyrobaculum'], 'family': ['Thermoproteaceae'], 'order': ['Thermoproteales'], 'phylum': ['Crenarchaeota']}
AJ748296.1	{'genus': ['Sulfolobus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AJ783769.1	{'genus': ['Sulfolobus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AJ854042.1	{'genus': ['Acidianus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AJ875026.1	{'genus': ['Acidianus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AJ888457.1	{'genus': ['Acidianus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AM076770.1	{'genus': ['Yersinia'], 'family': ['Yersiniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AM087120.2	{'genus': ['Acidianus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AM087121.2	{'genus': ['Acidianus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AM087122.1	{'genus': ['Acidianus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AM087123.2	{'genus': ['Acidianus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AP000400.1	{'genus': ['not defined'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP000422.1	{'genus': ['not defined'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP004402.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012529.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012531.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012532.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012533.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012534.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012535.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012536.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012537.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012538.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012539.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP012540.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP014715.1	{'genus': ['Edwardsiella'], 'family': ['Hafniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP014858.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
AP014887.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
AP014888.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
AP017903.1	{'genus': ['Candidatus Azobacteroides'], 'family': ['not defined'], 'order': ['Bacteroidales'], 'phylum': ['Bacteroidetes']}
AP017924.1	{'genus': ['Ralstonia'], 'family': ['Burkholderiaceae'], 'order': ['Burkholderiales'], 'phylum': ['Proteobacteria']}
AP017925.1	{'genus': ['Ralstonia'], 'family': ['Burkholderiaceae'], 'order': ['Burkholderiales'], 'phylum': ['Proteobacteria']}
